startTime,endTime,duration,qualifiers,channels,ratings,stationId,program.tmsId,program.rootId,program.subType,program.title,program.releaseYear,program.releaseDate,program.titleLang,program.descriptionLang,program.entityType,program.genres,program.audience,program.longDescription,program.shortDescription,program.topCast,program.directors,program.qualityRating.ratingsBody,program.qualityRating.value,program.ratings,program.preferredImage.width,program.preferredImage.height,program.preferredImage.uri,program.preferredImage.category,program.preferredImage.text,program.preferredImage.primary,station.stationId,station.callSign,station.videoQuality.signalType,station.videoQuality.videoType,station.preferredImage.width,station.preferredImage.height,station.preferredImage.uri,station.preferredImage.category,station.preferredImage.primary,station.channel,program.sportsId,station.affiliateCallSign,station.affiliateId,station.videoQuality.truResolution,program.preferredImage.caption.content,program.preferredImage.caption.lang
2020-11-10T16:30Z,2020-11-10T19:05Z,155,"['CC', 'DD 5.1', 'Stereo']",['037'],"[{'body': 'USA Parental Rating', 'code': 'TVPG', 'subRating': 'Language'}]",10093,MV000254520000,10998,Feature Film,E.T. the Extra-Terrestrial,1982.0,1982-06-11,en,en,Movie,"['Science fiction', 'Adventure', 'Children']",Children,"After a gentle alien becomes stranded on Earth, the being is discovered and befriended by a young boy named Elliott (Henry Thomas). Bringing the extraterrestrial into his suburban California house, Elliott introduces E.T., as the alien is dubbed, to his brother and his little sister, Gertie (Drew Barrymore), and the children decide to keep its existence a secret. Soon, however, E.T. falls ill, resulting in government intervention and a dire situation for both Elliott and the alien.","A suburban California boy (Henry Thomas) befriends a harmless, homesick alien stranded on Earth.","['Henry Thomas', 'Dee Wallace', 'Peter Coyote']",['Steven Spielberg'],TMS,4,"[{'body': 'Motion Picture Association of America', 'code': 'PG'}, {'body': 'B.C. Film Classification Office', 'code': 'G'}, {'body': 'Saskatchewan Film and Video Classification Board', 'code': 'G'}, {'body': 'Departamento de Justiça, Classificação, Títulos e Qualificação', 'code': 'L'}, {'body': 'British Board of Film Classification', 'code': 'U', 'subRating': 'Threat|Very Mild Language'}, {'body': 'Dirección General de Radio, Televisión y Cinematografía', 'code': 'A'}, {'body': 'Freiwillige Selbstkontrolle der Filmwirtschaft', 'code': '6'}, {'body': 'UK Content Provider', 'code': 'PG'}, {'body': 'Australian Classification Board', 'code': 'PG'}, {'body': 'Mediakasvatus- ja kuvaohjelmayksikkö', 'code': 'K7'}, {'body': 'Régie du cinéma', 'code': 'G'}]",240,360,assets/p10998_v_v5_ah.jpg,VOD Art,yes,true,10093,FREEFRM,Digital,SDTV,360,270,assets/s10093_ll_h3_ad.png,Logo,true,037,,,,,,
2020-11-10T16:30Z,2020-11-10T19:05Z,155,"['CC', 'DD 5.1', 'Stereo']",['122'],"[{'body': 'USA Parental Rating', 'code': 'TVPG', 'subRating': 'Language'}]",10093,MV000254520000,10998,Feature Film,E.T. the Extra-Terrestrial,1982.0,1982-06-11,en,en,Movie,"['Science fiction', 'Adventure', 'Children']",Children,"After a gentle alien becomes stranded on Earth, the being is discovered and befriended by a young boy named Elliott (Henry Thomas). Bringing the extraterrestrial into his suburban California house, Elliott introduces E.T., as the alien is dubbed, to his brother and his little sister, Gertie (Drew Barrymore), and the children decide to keep its existence a secret. Soon, however, E.T. falls ill, resulting in government intervention and a dire situation for both Elliott and the alien.","A suburban California boy (Henry Thomas) befriends a harmless, homesick alien stranded on Earth.","['Henry Thomas', 'Dee Wallace', 'Peter Coyote']",['Steven Spielberg'],TMS,4,"[{'body': 'Motion Picture Association of America', 'code': 'PG'}, {'body': 'B.C. Film Classification Office', 'code': 'G'}, {'body': 'Saskatchewan Film and Video Classification Board', 'code': 'G'}, {'body': 'Departamento de Justiça, Classificação, Títulos e Qualificação', 'code': 'L'}, {'body': 'British Board of Film Classification', 'code': 'U', 'subRating': 'Threat|Very Mild Language'}, {'body': 'Dirección General de Radio, Televisión y Cinematografía', 'code': 'A'}, {'body': 'Freiwillige Selbstkontrolle der Filmwirtschaft', 'code': '6'}, {'body': 'UK Content Provider', 'code': 'PG'}, {'body': 'Australian Classification Board', 'code': 'PG'}, {'body': 'Mediakasvatus- ja kuvaohjelmayksikkö', 'code': 'K7'}, {'body': 'Régie du cinéma', 'code': 'G'}]",240,360,assets/p10998_v_v5_ah.jpg,VOD Art,yes,true,10093,FREEFRM,Digital,SDTV,360,270,assets/s10093_ll_h3_ad.png,Logo,true,122,,,,,,
2020-11-10T17:00Z,2020-11-10T19:30Z,150,,['1532'],,52285,MV003700060000,8805583,Feature Film,Chala Mussaddi: Office Office,2011.0,2011-08-05,en,en,Movie,['Comedy drama'],,A retired school teacher receives the shock of his life when he is presumed to be dead by a few government officials. He then sets out to prove to them that he is actually alive.,A retired pension seeker discovers that he is officially dead according to the government.,"['Deven Bhojani', 'Makrand Deshpande', 'Farida Jalal']",['Rajiv Mehra'],,,,240,360,assets/p8805583_v_v5_ad.jpg,VOD Art,yes,true,52285,FILMY,Digital,SDTV,360,270,assets/s52285_ll_h3_aa.png,Logo,true,1532,,,,,,
2020-11-10T17:00Z,2020-11-10T19:30Z,150,['CC'],['625'],"[{'body': 'USA Parental Rating', 'code': 'TV14', 'subRating': 'Violence|Language'}]",16108,MV000013010000,29335,Feature Film,Two Mules for Sister Sara,1970.0,1970,en,en,Movie,"['Western', 'Action', 'Adventure']",,"When gunslinger Hogan (Clint Eastwood) discovers a group of men attempting to rape a young nun, Sara (Shirley MacLaine), he shoots them dead and rescues the woman. The two escape to a nearby camp of Mexican revolutionaries, who have hired Hogan to help fight the invading French army. En route, Sara turns out to be surprisingly crude for a nun, drinking, smoking and using curse words. When she also proves to be handy with a gun, Hogan begins wondering if she is telling him the whole truth.",Profane Sister Sara (Shirley MacLaine) gets desert drifter (Clint Eastwood) to attack fort.,"['Shirley MacLaine', 'Clint Eastwood', 'Manolo Fabregas']",['Don Siegel'],TMS,3,"[{'body': 'British Board of Film Classification', 'code': '15'}, {'body': 'UK Content Provider', 'code': '15'}, {'body': 'Freiwillige Selbstkontrolle der Filmwirtschaft', 'code': '16'}, {'body': 'Film & Publication Board', 'code': '13'}, {'body': 'Régie du cinéma', 'code': 'G'}, {'body': 'Australian Classification Board', 'code': 'M 15+'}]",240,360,assets/p29335_v_v5_aa.jpg,VOD Art,yes,true,16108,SUNDANC,Digital,SDTV,360,270,assets/s16108_ll_h3_aa.png,Logo,true,625,,,,,,
2020-11-10T17:05Z,2020-11-10T19:05Z,120,,['971'],,62401,MV012256160000,16459566,Feature Film,La peor de mis bodas 2,2019.0,2019,es,es,Movie,['Comedy'],,Maricielo es una pícara vendedora de artículos para fiestas que es tentada por el hijo de un millonario para hacerse pasar por la mejor organizadora de bodas de Lima y así arruinar el matrimonio de su padre con su novia.,Maricielo es tentada por un millonario para hacerse pasar por la mejor organizadora de bodas.,"['Maricarmen Marín', 'Gabriel Soto', 'Laura Zapata']",['Adolfo Aguilar'],,,,240,360,assets/p16459566_v_v5_aa.jpg,VOD Art,yes,true,62401,CINLUS,Digital,SDTV,360,270,assets/s62401_h3_aa.png,Logo,true,971,,,,,,
2020-11-10T17:10Z,2020-11-10T19:37Z,147,"['CC', 'DD 5.1', 'Stereo']",['541'],,18434,MV012225100000,9103828,Feature Film,For Greater Glory: The True Story of Cristiada,2012.0,2012-06-01,en,en,Movie,['Historical drama'],,"In late 1920s Mexico, retired Gen. Gorostieta (Andy Garcia) and his wife (Eva Longoria) watch their country degenerate into violent civil war when the government enacts a series of anti-clerical laws. Gorostieta is at first hesitant to join the rebels, known as Cristeros, until he begins to see the cost of religious persecution on his countrymen. Though the odds are against him, the general nevertheless transforms a ragtag band of rebels into a formidable fighting force.",The Mexican government's attempt to secularize the country sets off the Cristero War.,"['Andy Garcia', 'Eva Longoria', ""Peter O'Toole""]",['Dean Wright'],TMS,1.5,"[{'body': 'Motion Picture Association of America', 'code': 'R', 'subRating': 'Some Disturbing Images|War Violence'}, {'body': 'Manitoba Film Classification Board', 'code': '14A', 'subRating': 'Disturbing Content|Violence|Not Recommended for Children'}, {'body': 'Freiwillige Selbstkontrolle der Filmwirtschaft', 'code': '16'}, {'body': 'Régie du cinéma', 'code': '13+', 'subRating': 'Violence'}, {'body': 'Australian Classification Board', 'code': 'M 15+'}, {'body': 'Dirección General de Radio, Televisión y Cinematografía', 'code': 'A'}]",240,360,assets/p9103828_v_v5_ag.jpg,VOD Art,yes,true,18434,ACMAXP,Digital,SDTV,360,270,assets/s18433_ll_h3_ad.png,Logo,true,541,,,,,,
2020-11-10T17:10Z,2020-11-10T19:05Z,115,"['CC', 'DD 5.1', 'Stereo']",['512'],,10241,MV008021910000,12118906,Feature Film,War Dogs,2016.0,2016-04-08,en,en,Movie,['Comedy drama'],,"With the war in Iraq raging on, a young man (Jonah Hill) offers his childhood friend a chance to make big bucks by becoming an international arms dealer. Together, they exploit a government initiative that allows businesses to bid on U.S. military contracts. Starting small allows the duo to rake in money and live the high life. They soon find themselves in over their heads after landing a $300 million deal to supply Afghan forces, a deal that puts them in business with some very shady people.",Arms dealers find themselves in over their heads after landing a contract to supply Afghan forces.,"['Jonah Hill', 'Miles Teller', 'Ana de Armas']",['Todd Phillips'],TMS,2.5,"[{'body': 'Motion Picture Association of America', 'code': 'R', 'subRating': 'Language Throughout|Drug Use|Some Sexual References'}, {'body': 'B.C. Film Classification Office', 'code': '14A', 'subRating': 'Coarse Language|Drug Use'}, {'body': 'Saskatchewan Film and Video Classification Board', 'code': '14A', 'subRating': 'Drug Use|Coarse Language'}, {'body': 'Manitoba Film Classification Board', 'code': '14A', 'subRating': 'Coarse Language|Substance Use'}, {'body': ""Alberta's Film Classification Board"", 'code': '14A', 'subRating': 'Coarse Language|Substance Abuse'}, {'body': 'Maritime Film Classification Board', 'code': '14', 'subRating': 'Substance Abuse|Coarse Language'}, {'body': 'Régie du cinéma', 'code': '13+'}, {'body': 'Freiwillige Selbstkontrolle der Filmwirtschaft', 'code': '12'}, {'body': 'Australian Classification Board', 'code': 'M 15+'}, {'body': 'British Board of Film Classification', 'code': '15'}, {'body': 'UK Content Provider', 'code': '15'}, {'body': 'Departamento de Justiça, Classificação, Títulos e Qualificação', 'code': '16', 'subRating': 'Linguagem Imprópria|Violência|Drogas'}, {'body': 'Mediakasvatus- ja kuvaohjelmayksikkö', 'code': 'K12'}, {'body': ""Conseil Supérieur de l'Audiovisuel"", 'code': '-12'}, {'body': 'Film & Publication Board', 'code': '16'}, {'body': 'Dirección General de Radio, Televisión y Cinematografía', 'code': 'B15'}, {'body': 'Instituto de Cinematografía y de las Artes Visuales', 'code': '16'}]",240,360,assets/p12118906_v_v5_ab.jpg,VOD Art,yes,true,10241,HBO2,Digital,SDTV,360,270,assets/s10241_ll_h3_aa.png,Logo,true,512,,,,,,
2020-11-10T17:15Z,2020-11-10T19:05Z,110,"['CC', 'DD 5.1']",['523'],,18432,MV000425670000,16834,Feature Film,Congo,1995.0,1995-10-21,en,en,Movie,"['Action', 'Adventure']",,"Scientist Karen Ross (Laura Linney) is sent by her father-in-law, mogul R.B. Travis (Joe Don Baker), to the Congo to determine the whereabouts of his son's missing diamond-hunting team. Led by expert guide Kelly (Ernie Hudson), Ross and a mismatched search party -- including primatologist Dr. Peter Elliot (Dylan Walsh), treasure hunter Herkermer Homolka (Tim Curry) and a gorilla -- discover a danger far more sinister than anything they expected to find, even in the heart of the jungle.","Killer gorillas menace an ex-CIA agent, a primatologist and others on a mission in Africa.","['Dylan Walsh', 'Laura Linney', 'Ernie Hudson']",['Frank Marshall'],TMS,2,"[{'body': 'Motion Picture Association of America', 'code': 'PG-13'}, {'body': 'British Board of Film Classification', 'code': '12'}, {'body': 'UK Content Provider', 'code': '12'}, {'body': 'Departamento de Justiça, Classificação, Títulos e Qualificação', 'code': '14'}, {'body': 'Freiwillige Selbstkontrolle der Filmwirtschaft', 'code': '16'}, {'body': 'Australian Classification Board', 'code': 'M 15+'}, {'body': 'Régie du cinéma', 'code': 'G'}, {'body': ""Conseil Supérieur de l'Audiovisuel"", 'code': '-12'}, {'body': 'Film & Publication Board', 'code': '16'}, {'body': 'Mediakasvatus- ja kuvaohjelmayksikkö', 'code': 'K12'}, {'body': 'Dirección General de Radio, Televisión y Cinematografía', 'code': 'B'}, {'body': 'Medietilsynet', 'code': '15 år'}]",240,360,assets/p16834_v_v5_as.jpg,VOD Art,yes,true,18432,HBOZP,Digital,SDTV,360,270,assets/s18431_ll_h3_aa.png,Logo,true,523,,,,,,
2020-11-10T17:17Z,2020-11-10T19:05Z,108,"['CC', 'DD 5.1', 'Stereo']",['585'],,19634,MV011197800000,15543125,Feature Film,The Happy Prince,2018.0,2018-01-21,en,en,Movie,"['Biography', 'Historical drama']",,"His body ailing, Oscar Wilde lives in exile, surviving on the flamboyant irony and brilliant wit that defined him.","The last three years of legendary poet, playwright and novelist Oscar Wilde.","['Rupert Everett', 'Colin Firth', 'Emily Watson']",['Rupert Everett'],TMS,2.5,"[{'body': 'Freiwillige Selbstkontrolle der Filmwirtschaft', 'code': '12'}, {'body': 'Motion Picture Association of America', 'code': 'R', 'subRating': 'Brief Drug Use|Graphic Nudity|Language|Sexual Content'}, {'body': 'Manitoba Film Classification Board', 'code': 'PG', 'subRating': 'Nudity|Coarse Language|Drug Use|Violence'}, {'body': 'B.C. Film Classification Office', 'code': 'PG', 'subRating': 'Drug Use|Violence|Nudity|Coarse Language'}, {'body': 'Saskatchewan Film and Video Classification Board', 'code': 'PG', 'subRating': 'Coarse Language|Drug Use|Nudity|Violence'}, {'body': ""Alberta's Film Classification Board"", 'code': '14A', 'subRating': 'Coarse Language|Nudity'}, {'body': 'Régie du cinéma', 'code': 'G'}, {'body': 'Mediakasvatus- ja kuvaohjelmayksikkö', 'code': 'K12'}, {'body': 'Dirección General de Radio, Televisión y Cinematografía', 'code': 'C'}, {'body': 'Departamento de Justiça, Classificação, Títulos e Qualificação', 'code': '14'}, {'body': 'Australian Classification Board', 'code': 'MA 15+'}]",240,360,assets/p15543125_v_v5_ab.jpg,VOD Art,yes,true,19634,STZCI,Digital,SDTV,360,270,assets/s19634_ll_h3_ab.png,Logo,true,585,,,,,,
2020-11-10T17:24Z,2020-11-10T19:05Z,101,"['CC', 'DD 5.1', 'Stereo']",['586'],,34901,MV002259150000,181633,Feature Film,All About Steve,2009.0,2009-09-04,en,en,Movie,"['Romantic comedy', 'Comedy']",,"After a lovely blind date, crossword-puzzle creator Mary Horowitz (Sandra Bullock) falls head over heels in love with Steve (Bradley Cooper), a news cameraman. Mary is convinced that she and Steve are soul mates, and with the encouragement of a reporter (Thomas Haden Church), follows Steve around the country in a bid to win his love. Along the way, she befriends an assortment of misfits who accept her for who she is, leading her to reassess her reasons for this strange journey.",A smitten woman (Sandra Bullock) follows a news cameraman (Bradley Cooper) around the country.,"['Sandra Bullock', 'Thomas Haden Church', 'Bradley Cooper']",['Phil Traill'],TMS,1,"[{'body': 'Motion Picture Association of America', 'code': 'PG-13', 'subRating': 'Sexual Content|Innuendo'}, {'body': ""Alberta's Film Classification Board"", 'code': 'PG', 'subRating': 'Coarse Language'}, {'body': 'Manitoba Film Classification Board', 'code': 'PG', 'subRating': 'Language May Offend'}, {'body': 'Maritime Film Classification Board', 'code': 'PG', 'subRating': 'Language May Offend'}, {'body': 'Régie du cinéma', 'code': 'G'}, {'body': 'B.C. Film Classification Office', 'code': 'PG', 'subRating': 'Coarse Language'}, {'body': 'Saskatchewan Film and Video Classification Board', 'code': 'PG', 'subRating': 'Coarse Language'}, {'body': 'British Board of Film Classification', 'code': '12A', 'subRating': 'Moderate Sex References'}, {'body': 'UK Content Provider', 'code': '12'}, {'body': 'Departamento de Justiça, Classificação, Títulos e Qualificação', 'code': '12'}, {'body': 'Mediakasvatus- ja kuvaohjelmayksikkö', 'code': 'K12'}, {'body': 'Freiwillige Selbstkontrolle der Filmwirtschaft', 'code': '6'}, {'body': 'Australian Classification Board', 'code': 'PG', 'subRating': 'Mild Sexual References|Coarse Language'}, {'body': 'Dirección General de Radio, Televisión y Cinematografía', 'code': 'B'}]",240,360,assets/p181633_v_v5_aa.jpg,VOD Art,yes,true,34901,STZC,Digital,SDTV,360,270,assets/s34901_ll_h3_ab.png,Logo,true,586,,,,,,
